Mobile_name,Actual_price,Discount_Price,RAM,ROM,Display,Camera,Battery,Processor,Warranty,Delivery
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)","₹14,999","₹10,799",4 GB RAM,64 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,N/A,1 Year Warranty,Free delivery
"SAMSUNG A14 5g (Green, 128 GB)","₹22,999","₹19,890",8 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Battery,(Exynos 1330) Processor,N/A,Free delivery
"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)","₹17,990","₹13,499",4 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,N/A,1 year for handset and 6 month for accessories,Free delivery
"SAMSUNG Galaxy M04 (Light Green, 128 GB)","₹13,499","₹9,199",4 GB RAM,128 GB ROM,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP,5000 mAh Battery,MediaTek Helio P35 Processor,N/A,Free delivery
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹18,990","₹14,765",6 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,N/A,1 year for handset and 6 month for accessories,Free delivery
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹25,999","₹18,989",8 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,N/A,1 Year Warranty,Free delivery
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹11,999","₹8,188",4 GB RAM,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,MediaTek Helio P35 Processor,N/A,Free delivery
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹24,499","₹18,999",6 GB RAM,128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery,Exynos 1280 Processor,N/A,Free delivery
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹25,999","₹20,999",8 GB RAM,128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery,Exynos 1280 Processor,N/A,Free delivery
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹25,999","₹20,999",8 GB RAM,128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery,Exynos 1280 Processor,N/A,Free delivery
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹24,499","₹18,999",6 GB RAM,128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery,Exynos 1280 Processor,N/A,Free delivery
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹18,990","₹15,888",6 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,N/A,1 year,Free delivery
"SAMSUNG GALAXY M13 (Stardust Brown, 128 GB)","₹17,999","₹15,490",6 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,N/A,12 Months Warranty,Free delivery
"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)","₹24,999","₹18,213",6 GB RAM,128 GB ROM,16.51 cm (6.5 inch) Display,50MP Rear Camera,6000 mAh Battery,N/A,Domestic 1 Year of Device & 6 Months for In-Box Accessories,Free delivery
"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)","₹25,999","₹23,775",8 GB RAM,128 GB ROM,16.51 cm (6.5 inch) Display,50MP Rear Camera,6000 mAh Battery,N/A,Domestic 1 Year of Device & 6 Months for In-Box Accessories,Free delivery
"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹24,499","₹18,555",6 GB RAM,128 GB ROM,16.51 cm (6.5 inch) Display,50MP Rear Camera,6000 mAh Battery,N/A,Domestic 1 Year of Device & 6 Months for In-Box Accessories,Free delivery
"SAMSUNG Galaxy S20 FE 5G (Cloud Navy, 128 GB)","₹60,999","₹32,990",8 GB RAM,128 GB ROM,16.51 cm (6.5 inch) Display,12MP Rear Camera,4500 mAh Battery,N/A,1 Year Warranty,Free delivery
"SAMSUNG Galaxy Z Flip5 (Mint, 256 GB)","₹1,02,999","₹99,999",8 GB RAM,256 GB ROM,17.02 cm (6.7 inch) Display,12MP + 12MP | 10MP Front Camera,3700 mAh Battery,Snapdragon 8 Gen 2 Processor,N/A,Free delivery
"SAMSUNG Galaxy Z Flip5 (Graphite, 256 GB)","₹1,02,999","₹99,999",8 GB RAM,256 GB ROM,17.02 cm (6.7 inch) Display,12MP + 12MP | 10MP Front Camera,3700 mAh Battery,Snapdragon 8 Gen 2 Processor,N/A,Free delivery
"SAMSUNG Galaxy Z Flip5 (Graphite, 512 GB)","₹1,13,999","₹1,09,999",8 GB RAM,512 GB ROM,17.02 cm (6.7 inch) Display,12MP + 12MP | 10MP Front Camera,3700 mAh Battery,Snapdragon 8 Gen 2 Processor,N/A,Free delivery
"SAMSUNG Galaxy Z Flip5 (Cream, 512 GB)","₹1,13,999","₹1,09,999",8 GB RAM,512 GB ROM,17.02 cm (6.7 inch) Display,12MP + 12MP | 10MP Front Camera,3700 mAh Battery,Snapdragon 8 Gen 2 Processor,N/A,Free delivery
"SAMSUNG Galaxy Z Fold5 (Phantom Black, 512 GB)","₹1,69,999","₹1,64,999",12 GB RAM,512 GB ROM,15.75 cm (6.2 inch) Display,50MP + 12MP + 10MP,4400 mAh Battery,Snapdragon 8 Gen 2 Processor,N/A,Free delivery
"SAMSUNG Galaxy Z Fold5 (Icy Blue, 1 TB)","₹1,89,999","₹1,84,999",12 GB RAM,1 TB ROM,15.75 cm (6.2 inch) Display,50MP + 12MP + 10MP,4400 mAh Battery,Snapdragon 8 Gen 2 Processor,N/A,Free delivery
"SAMSUNG Galaxy Z Fold5 (Cream, 256 GB)","₹1,59,999","₹1,54,999",12 GB RAM,256 GB ROM,15.75 cm (6.2 inch) Display,50MP + 12MP + 10MP,4400 mAh Battery,Snapdragon 8 Gen 2 Processor,N/A,Free delivery
